affable,"和蔼的，温和的：ease, friendliness"
amiable,"好脾气，友好易相处的：friendly"
arable,"适合耕作的：growing of crops"
fable,"寓言故事：story teach a basic truth；神话，传说：story of supernatural happenings；谎言，虚构：statement in order to deceive"
morose,"忧郁的：sullen, gloomy"
morale,"n.士气，精神力量[红宝书]"
mores,"n.风俗习惯，道德观念[红宝书]"
morsel,"n.一小块(食物)；小量[红宝书]"
noose,"n.绳圈，套索[红宝书]"
prose,"n.散文[红宝书]"
magnanimous,"宽大, 落落大方 "
jubilant,"喜悦的：joyful"
jarring,"刺耳的：discordant；震惊的：strong emotional reaction"
barring,"1.prep. 除非；不包括；除…以外 2.v. 阻拦（bar的ing形式） 3.n. (Barring)人名；(德)巴林[新经济人高频]"
earring,"n.耳环，耳饰[红宝书]"
arming,"1.n. 武装；装备；徽章[新经济人高频]"
harming,"1.损害 2.伤害 3.免于伤害 4.将不受损害[新经济人高频]"
jailing,"1.n. 监狱；监牢；拘留所 2.vt. 监禁；下狱 3.n. (Jail)人名；(英)杰尔[新经济人高频]"
sparring,"n.拳击，争斗[红宝书]"
