fulsome,"a.虚情假意的；充足的[红宝书]"
squeamish,"恶心的，晕船的：nausea"
squramish,"a.易受惊的；易恶心的[红宝书]"
smattering,"n.略懂，浅知 v.充内行( smatter的现在分词 ) "
scatter,"v.散开，驱散[红宝书]"
scutter,"v.疾走，飞奔[红宝书]"
shatter,"v.使落下，使散开[红宝书]"
spatter,"v.洒，溅[红宝书]"
batter,"1.n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜 2.vt. 猛击；打坏；使向上倾斜 3.vi. 接连猛击；向上倾斜 4.n. (Batter)人名；(罗)巴特尔[新经济人高频]"
cater,"v.迎合；提供饮食及服务[红宝书]"
flatter,"拍马屁，奉承，讨好：praise excessively；自我感觉良好：think highly of；使显得更漂亮：show advantageously"
scamper,"v.奔跑，蹦蹦跳跳[红宝书]"
slattern,"a.不整洁的 n.邋遢的女人[红宝书]"
stutter,"n./v.口吃，结巴[红宝书]"
tatter,"n.碎片 v.撕碎[红宝书]"
all the more,"益, 愈加 "
celerity,"n.快速，迅速[红宝书]"
celebrity,"n.名声；知名人士[红宝书]"
clarity,"清晰，清楚：clear, lucidity; 清澈透明:easily seen through"
temerity,"有效的，显著的：effective"
semblance,"假装, 副本，拷贝 "
overarching,"adj.首要的 v.在…上方成拱形( overarch的现在分词 ) "
overstate,"v.夸张，对…言过其实[红宝书]"
overrate,"v.对···评价过高[红宝书]"
ineffably,"adv.难以言喻地，因神圣而不容称呼地 "
ineffable,"难以表达的：incapable expressed"
winsome,"迷人的，漂亮的：pleasing and engaging"
lissome,"柔软的：easily bent；敏捷的，轻盈的：move with ease"
diminutive,"adj.小的，小型的 adv.特小地，小型地 爱称，昵称, 指小词 "
visage,"外表, 外观 "
physiognomy,"脸, 相面术 "
exude,"分泌，流出：flow forth"
elude,"躲闪，躲避：avoid adroitly；使无法理解，使困惑：escape the perception"
aplomb,"n.沉着，镇静[红宝书]"
plumb,"测深度：measure the depth；垂直的：vertical；仔细深入地检查；探索，探究：examine deeply"
sanguine,"乐观的，确信的：free from doubt；面色红润的：healthy reddish"
supercilious,"高傲的，傲慢的：haughty"
