stunning,"a.极富魅力的[红宝书]"
cunning,"狡猾的：artful deceptiveness；（手工）灵巧的：skillful；欺诈，欺骗：practice of misleading"
spinning,"adj.旋转的[红宝书]"
prowess,"英勇，勇敢：superior, courage"
growers,"1.雏[新经济人高频]"
press,"v.挤压[红宝书]"
protest,"v./n.抗议，反对[红宝书]"
furtively,"adv.偷偷地，秘密地 "
haphazardly,"adv.偶然地；随意地；杂乱地[红宝书]"
haphazard,"无秩序的，无目标的：lack of plan, order or direction"
hypothetically,"adv.假设地，假想地 "
retroactively,"adv.逆动地，追溯地 "
layperson,"n.外行 "
hobble,"跛行，蹒跚而行：haltingly or with difficulty；阻碍，妨碍：hamper the action"
cobble,"1.n. 鹅卵石，圆石 2.n. (Cobble)人名；(英)科布尔 3.vt. 修，拙劣地修补；铺鹅卵石，用圆石铺面[新经济人高频]"
gobble,"狼吞虎咽：eat greedily"
wobble,"摇晃，颤抖：move or proceed unsteadily；犹豫不决：show uncertainty"
babble,"发出含糊无意义的嘟囔声，胡乱说：utter, meaningless; 闲聊：rambling conversation"
dabble,"涉猎，对…浅尝辄止：superficially"
foible,"小缺点：minor flaw"
gabble,"v.急促而不清楚的说[红宝书]"
humble,"谦逊的：meekness, modesty；顺从的，谦卑的：humility or unseemly submissiveness"
mobile,"可移动的：capable moving；可变的：changeable"
nibble,"准确，精准：careful details；细微之处：fine point"
pebble,"1.n. 卵石；水晶透镜 2.vt. 用卵石铺[新经济人高频]"
rabble,"混乱的人群；暴民；下层群众：disorganized crowd of people"
rubble,"1.n. 碎石，碎砖；粗石堆[新经济人高频]"
hamstrung,"v.使无能为力，使不起作用，削弱…的活动能力( hamstring的过去式和过去分词 ) "
hamstring,"使无效，使无力：ineffective"
scrap,"废料，废物：discarded or useless；抛弃：get rid of；终止，放弃原计划：put an end to"
scrape,"v.刮，擦；擦掉[红宝书]"
epigram,"机智的短诗，警句：short witty"
apothegm,"n.格言，箴言，警句 "
divine,"v.占卜，卜测；a.神的[红宝书]"
bovine,"a.（似）牛的；迟钝的[红宝书]"
define,"1.vt. 定义；使明确；规定 2.n. (Define)人名；(英)德法恩；(葡)德菲内[新经济人高频]"
devise,"v.发明，设计；图谋；遗赠给[红宝书]"
solicitude,"n.关怀，牵挂[红宝书]"
solitude,"孤独，避世：being alone"
solicit,"v.恳求；教唆(犯罪)，(妓女)拉客[红宝书]"
solicitous,"为他人操心的，体谅他人的：happiness of others；迫切的，渴望的：urgent desire"
surliness,"n.粗鲁，不和蔼，险恶的天气 "
brioche,"n.<法>奶油糕点，奶油蛋卷 "
brim,"边缘，边界：outer margin；充满：full often to overflowing；加满，倒满：as much as can be"
grim,"a.(表情)冷酷的，严厉的，可怕的[红宝书]"
trim,"v.修剪；a.井井有条的[红宝书]"
cumbrous,"adj.讨厌的，成负担的，累赘的 "
capricious,"a.怪想的；变化无常的，任性的[红宝书]"
capacious,"adj.容量大的，宽敞的[红宝书]"
atrocious,"极坏的，极其残忍的：extremely wicked; 让人极为不满的：extremely unsatisfactory"
avaricious,"a.贪婪的，贪心的[红宝书]"
captious,"吹毛求疵的，爱挑毛病的：stress faults and raise objections"
malicious,"恶意的：deliberately harmful"
rapacious,"食量大的，贪食的：huge appetite；过度贪婪的：covetous"
ponderous,"沉重的：great weight；沉闷无聊的：unpleasantly dull"
onerous,"费时间花心思的：requiring much time, effort"
wondrous,"1.adj. 奇妙的；令人惊奇的；非常的[新经济人高频]"
unjustifiable,"小鞋, 曲 "
unjustifiable,"a.不合道理的[红宝书]"
justifiable,"a.有理由的，无可非议的[红宝书]"
quatifiable,"adj.可以计量的，可量化的[红宝书]"
unquestionable,"adj.毫无疑问的，无懈可击的[红宝书]"
unsustainable,"1.adj. 无法支撑的；不可证实的；不能成立的[新经济人高频]"
inveterate,"积习的：firmly established"
illiterate,"a.文盲的[红宝书]"
incinerate,"将…烧成灰烬：burn to ashes"
integrate,"v.使成整体[红宝书]"
intemperate,"无节制的，极端的，不温和的：not temperate"
investigate,"v.调查[红宝书]"
invigorate,"使精神，使强壮，鼓舞激励：impart vigor"
iterate,"v.重申，重做[红宝书]"
venerate,"尊敬：regard with respect"
untiring,"不倦, 始终不懈 "
arriviste,"n.暴发户，一心想发迹的人 "
duke,"<俚>(pl.)拳头, [植]公爵樱桃 vi.战斗 "
Duke,"1.n. 公爵，（公国的）君主；公爵（种）樱桃 2.n. (Duke)人名；(西、俄、瑞典、英)杜克[新经济人高频]"
duchess,"女公爵, 气度威严的妇女 "
sordid,"肮脏的，不干净的：not clean；卑鄙的：baseness"
Nordic,"1.n. 北欧人；日耳曼民族；斯堪的纳维亚人；具有北欧日尔曼民族外貌特征的人 2.adj. 北欧人的；斯堪的纳维亚的；日耳曼民族的[新经济人高频]"
morbid,"疾病的，疾病所致的：by disease；（思想性格）变态的：unwholesome thoughts"
solid,"固态的，坚固的：not easily yield to pressure；有理有据的：sound reasoning；坚定的，不迟疑的：not showing weakness"
torpid,"麻木的，没有知觉的：sensation；迟钝的，行动迟缓的：slow"
torrid,"酷热的：intensely hot；热情的，情感深厚的：great depth of feeling"
devolve,"交给下属（或下层、晚辈等）, 衰落 "
devolved,"1.移交[新经济人高频]"
devoted,"投入的，忠诚的：loyalty, devotion；示爱的，恩爱的：love"
altercation,"n.争辩，争吵 "
operatic,"歌剧的, 歌剧风格的 "
heinous,"可憎的，十恶不赦的：hatefully"
ominous,"凶兆的：omen, evil"
foolhardy,"adj.<贬>莽撞的，有勇无谋的 "
audacious,"大胆的，（但往往）愚勇的：fearlessly, recklessly; 蔑视（法律、礼节）的，无礼的：contemptuous of law; 乐于冒险的：take risks; 大胆创新的：verve"
judicious,"明智的，慎重的：judgment prudent"
brazen,"蛮横大胆的，厚颜无耻的：contemptuous boldness; 大胆自信地去面对或从事：bold self-assurance"
blazon,"使知名：make known openly; 修饰，装扮：make more attractive"
brace,"v.支撑，加固；n.支撑物[红宝书]"
brake,"刹车：less rapid"
broaden,"1.vt. 使扩大；使变宽 2.vi. 扩大，变阔；变宽，加宽[新经济人高频]"
craven,"非常懦弱的，因胆小而遭人鄙视的：lacking courage"
graze,"v.(动物)吃(地上长的)草；放牧[红宝书]"
raze,"摧毁，粉碎：destroy completely"
crony,"密友, 好友 "
irony,"n.反话；(有讽刺意味的)出人意料的事情或情况[红宝书]"
chum,"鱼饵, 室友 成为好朋友, 用鱼饵钓鱼 "
