tumult,"骚乱，暴动：disorderly, disturbance"
tumble,"v.突然跌倒，突然下跌； 倒塌[红宝书]"
torpor,"缺乏兴趣：lack of interest；（肉体或精神上的）迟钝，懒散：inertness"
horror,"1.n. 惊骇；惨状；极端厌恶；令人恐怖的事物[新经济人高频]"
terror,"极度恐惧：intense fear"
torpid,"麻木的，没有知觉的：sensation；迟钝的，行动迟缓的：slow"
pandemonium,"喧嚣，骚动：noise"
straiten,"v.使为难； 使变窄[红宝书]"
strait,"海峡：channel joining water；痛苦：suffering"
voracious,"有很大食量的，贪吃的：huge appetite；贪婪的，如饥似渴的：insatiable"
veracious,"诚实的，说实话的：telling the truth；精确的，准确的：precise"
gracious,"a.大方的，和善的；奢华的；优美的，雅致的[红宝书]"
vivacious,"活泼的，快活的：lively"
ravenous,"食量大的，贪食的；贪婪的：huge appetite"
reticent,"沉默不语的：inclined to be silent；不愿意的：slow to begin"
resident,"n.居民；a.定居的，常驻的[红宝书]"
lord,"上帝, （英国用以称呼法官、主教或某些男性贵族成员，表示尊敬）大人 vi.逞威风 "
bonfire,"1.n. 篝火；营火[新经济人高频]"
confide,"v.（信赖的）倾诉[红宝书]"
confine,"禁闭，监禁：imprison；限制：limits"
vanity,"n.虚荣，自负[红宝书]"
sanity,"n.头脑清楚，神智健全[红宝书]"
amity,"友好关系，亲善和睦：friendship, friendly"
parity,"相称，同等，平等：being equal"
variety,"n.多样性，变种[红宝书]"
martyr,"殉道者, （因病等）长期受痛苦的人 折磨, 杀害 "
crusader,"十字军战士, 改革者 "
crusade,"n.维护理想、原则而进行的运动或斗争[红宝书]"
austerity,"n.朴素，艰苦[红宝书]"
asperity,"（举止、性情）粗暴：roughness; （环境）艰苦：rigor, severity"
papacy,"n.罗马教皇职位，教皇的在位期间 "
profligacy,"n.放荡，肆意挥霍[红宝书]"
profligate,"挥金如土的，挥霍的：wasteful；败家子：spends money freely；堕落的人：below the normal moral standard"
swathe,"v.包，绑，裹[红宝书]"
loathe,"厌恶：dislike"
sate,"使饱足，充分满足：satisfy fully"
scythe,"1.n. 长柄大镰刀；钐刀 2.vt. 用大镰刀割[新经济人高频]"
slate,"列入名单，计划，安排：put on a list"
soothe,"带来慰藉，安慰：bring comfort；使镇静，使安心：free from distress；弱化，缓解：less severe"
spate,"突发的洪水：sudden flood；大量：large number"
swarthy,"a.(皮肤等）黝黑的[红宝书]"
staunch,"忠诚的，坚定的：steadfast in loyalty"
stench,"臭气，恶臭：foul odor"
rivet,"n.铆钉；v.吸引(注意力)[红宝书]"
rive,"撕开：tear apart"
riven,"a.撕裂的，分裂的[红宝书]"
millennial,"adj.一千年的，千福年的 "
tinge,"给...着上少量的色彩：color, tint"
binge,"1.n. 狂欢，狂闹；放纵 2.n. (Binge)人名；(英)宾奇 3.vt. 放纵 4.vi. 狂饮作乐；大吃大喝[新经济人高频]"
hinge,"n.铰链；关键[红宝书]"
singe,"轻微烧焦：burn superficially"
twinge,"n.(生理，心理上的)剧痛[红宝书]"
provisional,"临时的：temporary"
provision,"n.(粮食)供应；(法律等)条款[红宝书]"
prevision,"n.预知，先见[红宝书]"
ambivalent,"（尤指感情、态度）矛盾的：opposing feelings"
equivalent,"等价的，相等的：equal"
traction,"牵引力, 附着摩擦力 "
fraction,"1.n. 分数；部分；小部分；稍微[新经济人高频]"
faction,"派系：a party that is often contentious"
friction,"摩擦：rubbing；冲突，不和：clashing；"
factions,"1.n. 派系（faction的复数）；内讧[新经济人高频]"
fractional,"a.微小的，极少的，微不足道的[红宝书]"
fractious,"a.(脾气)易怒的，好争吵的[红宝书]"
fruition,"n.（希望、计划）实现，完成[红宝书]"
function,"v.运行  n.功能；指责[红宝书]"
infraction,"违背，违反：failure to uphold the requirements"
oration,"（颇有野心、自高自大的）演说：high-flown or pompous manner"
ration,"定额供应量，配给量：amount allotted；按比例分配：share or portion"
refraction,"n.折射[红宝书]"
intention,"意义，意旨, [医]愈合 "
intentions,"1.n. 目的，意向，意图；打算（intention的复数）[新经济人高频]"
infections,"1.n. 传染病；口腔病害（infection复数形式）[新经济人高频]"
intentional,"a.存心的，故意的[红宝书]"
invention,"n.发明创造；发明才能，创造力；发现，找到[红宝书]"
contention,"n.争论；论点[红宝书]"
contentious,"引起争论的：argumentative；好争论的，好战的：tendency quarrels"
inception,"开端，开始：beginning"
infectious,"1.adj. 传染的；传染性的；易传染的[新经济人高频]"
ingenious,"聪明的，有创造才能的：resourceful, cleverness"
ingestion,"n.摄取，吸收(食物)；容纳[红宝书]"
injection,"1.n. 注射；注射剂；充血；射入轨道[新经济人高频]"
insentient,"无感觉的，无知觉的：lacking perception；一知半解的，略懂的：not having a deep understanding"
inspections,"1.n. 检查；视察；安全检测（inspection的复数）[新经济人高频]"
intuition,"n.直觉；由直觉获知的知识[红宝书]"
retention,"n.保留，保持[红宝书]"
sententious,"a.说教的，简要的[红宝书]"
curb,"（人行道的）镶边, （证券的）场外市场 给…加路缘, 在…处设井栏 "
cub,"n.幼兽；笨手笨脚的年轻人[红宝书]"
cue,"v.暗示，提示；n.暗示，提示[红宝书]"
uncurbed,"adj.未被限制的，不受束缚的 "
ranger,"骑兵巡逻队, 游荡的人 "
slander,"v./n.诽谤，诋毁[红宝书]"
blunder,"过失：error, mistake; 在···方面犯了很愚蠢且通常很严重的错误，糟蹋：make a stupid, error; 蹒跚：unsteadily"
gander,"n.雄鹅；笨人，傻瓜v.闲逛[红宝书]"
ladder,"1.n. 阶梯；途径；梯状物 2.vt. 在……上装设梯子 3.vi. 成名；发迹[新经济人高频]"
landed,"1.v. 登陆，登岸（land的过去时和过去分词） 2.adj. 拥有土地的；陆地上的[新经济人高频]"
meander,"闲逛，漫步：aimlessly and idly"
pander,"v.怂恿，迎合(不良欲望)[红宝书]"
plunder,"v.抢劫，掠夺[红宝书]"
squander,"使分散：apart；浪费：spend wastefully"
